method,rna_class,metric,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
LCRFinder,mRNA,frac_positive,3379,0.0,0.0,0.3636363636363636,0.3636363636363636,0.172344955044241,0.2552105535999506,4.62931587001613e-16,9.25863174003226e-16
LCRFinder,ncRNA,frac_positive,396,0.0,0.0,0.1666666666666667,0.1666666666666667,0.1379113157857308,0.2582026531585218,4.62931587001613e-16,9.25863174003226e-16
LCRFinder,pre-rRNA,frac_positive,320,0.0,0.0,0.5,0.5,0.2414604023427553,0.3504632163491538,4.62931587001613e-16,9.25863174003226e-16
LCRFinder,ribosomal protein,frac_positive,52,0.3666666666666667,0.0,0.6285714285714286,0.6285714285714286,0.3798076923076923,0.3955189328903807,4.62931587001613e-16,9.25863174003226e-16
LCRFinder,snRNA,frac_positive,351,0.0,0.0,0.5,0.5,0.2409396068363834,0.2964448913951147,4.62931587001613e-16,9.25863174003226e-16
LCRFinder,snoRNA,frac_positive,150,0.1,0.0,0.5,0.5,0.2534615698027462,0.3250175528170854,4.62931587001613e-16,9.25863174003226e-16
LCRFinder,tRNA,frac_positive,147,0.0,0.0,0.5,0.5,0.2370353263960707,0.3194885001215619,4.62931587001613e-16,9.25863174003226e-16
LCRFinder,unknown,frac_positive,1483,0.0,0.0,0.2857142857142857,0.2857142857142857,0.1642323640711205,0.2767178766522272,4.62931587001613e-16,9.25863174003226e-16
SEG,diverse,frac_positive,2,0.0384615384615384,0.0192307692307692,0.0576923076923076,0.0384615384615384,0.0384615384615384,0.0543928293220421,3.035521332114788e-05,7.285251197075491e-05
SEG,mRNA,frac_positive,287,0.0476190476190476,0.0,0.3036890645586297,0.3036890645586297,0.1653454459528014,0.2120238078086672,3.035521332114788e-05,7.285251197075491e-05
SEG,ncRNA,frac_positive,34,0.037037037037037,0.0,0.0572755417956656,0.0572755417956656,0.0640716686280155,0.1277153479843103,3.035521332114788e-05,7.285251197075491e-05
SEG,pre-rRNA,frac_positive,20,0.0,0.0,0.0,0.0,0.0404131447300327,0.1376367162885451,3.035521332114788e-05,7.285251197075491e-05
SEG,ribosomal protein,frac_positive,4,0.0869565217391304,0.0,0.2241847826086956,0.2241847826086956,0.1372282608695652,0.1784604198571116,3.035521332114788e-05,7.285251197075491e-05
SEG,snRNA,frac_positive,26,0.5,0.0,0.5508373205741627,0.5508373205741627,0.3468816616986467,0.2697525394638573,3.035521332114788e-05,7.285251197075491e-05
SEG,snoRNA,frac_positive,21,0.037037037037037,0.0,0.1764705882352941,0.1764705882352941,0.0802972766507864,0.0953783002849897,3.035521332114788e-05,7.285251197075491e-05
SEG,tRNA,frac_positive,6,0.1002304147465437,0.0553571428571428,0.157258064516129,0.1019009216589862,0.1656750955138052,0.2098475424019408,3.035521332114788e-05,7.285251197075491e-05
SEG,unknown,frac_positive,93,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0852513194473828,0.1725740054062556,3.035521332114788e-05,7.285251197075491e-05
SEG_intermediate,diverse,frac_positive,19,0.04,0.0,0.0701970443349753,0.0701970443349753,0.0616826618071903,0.1015423976605688,5.774737017093e-07,7.699649356124e-07
